uuid,all_uuids,playlist_title,id3_title,new_name,mp3_exists,image_exists
"371d4346-0bba-4ec4-922f-367b43c861d0","371d4346-0bba-4ec4-922f-367b43c861d0","Introduction et re","Introduction","Introduction et re",True,True
"22bc5d85-7698-4e47-8acd-0cc0a6466c58","22bc5d85-7698-4e47-8acd-0cc0a6466c58","Ulysse voit surgir de la mer un premier da","1er épisode, où Ulysse voit surgir de la mer un premier danger","Ulysse voit surgir de la mer un premier da",True,True
"51aa0475-9343-481b-a830-d099e9cdbaaa","51aa0475-9343-481b-a830-d099e9cdbaaa","pisode_ au cours duquel se joue le destin d_Ulysse","3e épisode, au cours duquel se joue le destin d’Ulysse","pisode_ au cours duquel se joue le destin d_Ulysse",True,True
"285f8180-68fa-46a5-b376-0aa15c53fc59","285f8180-68fa-46a5-b376-0aa15c53fc59|e546683d-f931-48c2-9849-bd07c7ecb7ff","i_285f8180-68fa-46a5-b376-0aa15c53fc59","4e épisode, où le couple d’Ulysse et Pénélope se soude à jamais","i_285f8180-68fa-46a5-b376-0aa15c53fc59",True,True
"0b9ba0b9-eeb6-4232-aa09-0077aee51560","0b9ba0b9-eeb6-4232-aa09-0077aee51560|135a9875-d423-4a9b-8ef7-9d88e5ea3ceb","endosse sa mission de chef de guerre","6e épisode, où Ulysse doit faire ses preuves","endosse sa mission de chef de guerre",True,True
"e2b4ef50-05d8-453a-b7ec-34e8fc00dc78","e2b4ef50-05d8-453a-b7ec-34e8fc00dc78","pisode_ au cours duquel Ulysse utilise sa ruse avec","8e épisode, où Ulysse se découvre une mystérieuse alliée","pisode_ au cours duquel Ulysse utilise sa ruse avec",True,True
"dae4b1a6-0d75-4e81-8906-9d32e1aecf24","dae4b1a6-0d75-4e81-8906-9d32e1aecf24|433d3321-847f-4ab4-9ddd-da99c6d3098d","pisode_ ce qui_ pendant ce temps_ se trame sur l_Olympe","9e épisode, ce qui, pendant ce temps, se trame sur l’Olympe","pisode_ ce qui_ pendant ce temps_ se trame sur l_Olympe",True,True
"e2325b50-d95e-4d1e-ad92-f9c79baf9797","e2325b50-d95e-4d1e-ad92-f9c79baf9797|6ffb1260-7db4-491a-a4db-ff6a2352eceb","les dieux s_en remettent au jugement d","11e épisode, où les dieux s’en remettent au jugement d’un petit berger","les dieux s_en remettent au jugement d",True,True
"07d25e79-b289-4beb-9d0c-6e3d685bcb18","07d25e79-b289-4beb-9d0c-6e3d685bcb18","i_07d25e79-b289-4beb-9d0c-6e3d685bcb18","13e épisode, au cours duquel un bébé change de prénom","i_07d25e79-b289-4beb-9d0c-6e3d685bcb18",True,True
"f6f1b258-3609-4d66-8d22-fc6a17b2bab3","f6f1b258-3609-4d66-8d22-fc6a17b2bab3","e1b28-d263-46eb-af22-25cc8be5247e","15e épisode, où deux êtres sont en mal d’amour","e1b28-d263-46eb-af22-25cc8be5247e",True,True
"65652604-efaf-44d3-9f31-555d5ae88f49","65652604-efaf-44d3-9f31-555d5ae88f49|9d72e338-7ddf-460c-b724-3e3ee7458f20","l_on comprend enfin les causes de cette","16e épisode, où l’on comprend enfin les causes de cette guerre","l_on comprend enfin les causes de cette",True,True
"c105f71f-0721-4878-8e78-376c947ca346","c105f71f-0721-4878-8e78-376c947ca346","i_5c4f7a62-4d","18e épisode, où se joue le destin d’Iphigénie","i_5c4f7a62-4d",True,True
"57298dbb-567c-4865-8fb5-9914a10ab196","57298dbb-567c-4865-8fb5-9914a10ab196","une guerre commence par une t","20e épisode, où une guerre commence par une terrible prophétie","une guerre commence par une t",True,True
